codprod;descricaoproduto;embalagem;unidade;codepto;deptodescricao;codsec;secdescricao;codncmex;nbm;informacoestecnicas;codmarca;marca;codmarcatabelamarcas;marcatabelamarcas
9402;VINHO IMP CHI BODEGAS CENTENARIAS CARMEN;750ML;UN;1;BEBIDAS;46;VINHO IMPORTADO;22042100.11;22042100;SANTA RITA - TINTO SECO;571;SANTA RITA BODEGAS;571;SANTA RITA
9405;MOLHO TOMATE 1,7KG TOMADORO GOURM.TRAD.;1,7KG-SACHE;UN;2;ALIMENTOS;212;ATOMATADO/CATCHUP;21032090.;21032090;1,7KG;52;BONARE;52;BONARE
9406;EXTRATO TOMATE 1,7KG TOMADORO GOURM.SACH;1,7KG;UN;2;ALIMENTOS;212;ATOMATADO/CATCHUP;20029000.;20029000;;52;BONARE;52;BONARE
9407;MOLHO TOMATE 1,7KG TOMADORO GOURM.PIZZA;1,7KG-SACHE;UN;2;ALIMENTOS;212;ATOMATADO/CATCHUP;21032090.;21032090;1,7KG;52;BONARE;52;BONARE
9408;ALCAPARRA  V.FERTIL SACHE 100G;100G;UN;2;ALIMENTOS;204;CONSERVA SALGADA/ENLATADOS;20019000.4;20019000;;453;VALE FERTIL;453;VALE FERTIL
9409;LICOR 43 CHOCOLATE;700ML;UN;1;BEBIDAS;21;LICOR IMPORTADO;22087000.4;22087000;700ML;478;43;478;43
9415;PALITO HASHI EMBAL.BAMBU REDONDO MELLO ;C/100 PARES;PT;6;EMBALAGENS/DESCARTAVEIS;642;PALITO/ESPETINHO;44191200.;44191200;BAMBU;266;MELLO;266;MELLO
9416;LENTILHA YOKI 400G TIPO 2;400G;UN;2;ALIMENTOS;240;CEREAL;07134090.;7134090;TIPO 2;468;YOKI;468;YOKI
9418;PALITO DENTAL EMBAL.BAMBU MELLO C/2000;C/2000;CX;6;EMBALAGENS/DESCARTAVEIS;642;PALITO/ESPETINHO;44219100.4;44219100;EMBALADO PLASTICO;266;MELLO;266;MELLO
9420;VODKA KETEL ONE 1L (HOL) ;1L;UN;1;BEBIDAS;8;VODKA IMPORTADA;22086000.;22086000;1L;219;KETEL ONE;219;KETEL ONE
9421;LUVA NITRILICA AZUL INOVEN S/PO G ;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;646;LUVA;40151900.;40151900;C/100;494;TALGE;494;INOVEN
9422;LUVA NITRILICA AZUL INOVEN S/PO M ;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;646;LUVA;40151900.;40151900;C/100;494;INOVEN;494;INOVEN
9424;LUVA NITRILICA AZUL INOVEN S/PO P ;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;646;LUVA;40151900.;40151900;C/100;494;INOVEN;494;INOVEN
9425;LUVA VINIL INOVEN C/PO G C/100;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;646;LUVA;39262000.;39262000;C/100;494;INOVEN;494;INOVEN
9426;LUVA VINIL INOVEN C/PO M C/100;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;646;LUVA;39262000.;39262000;C/100;494;INOVEN;494;INOVEN
9427;LUVA VINIL INOVEN C/PO P C/100;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;646;LUVA;39262000.99;39262000;C/100;494;INOVEN;494;INOVEN
9428;LUVA LATEX INOVEN C/PO G C/100;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;646;LUVA;40151900.98;40151900;C/100;494;INOVEN;494;INOVEN
9429;LUVA LATEX INOVEN C/PO M C/100;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;646;LUVA;40151900.10;40151900;C/100;494;INOVEN;494;INOVEN
9430;LUVA LATEX INOVEN C/PO P C/100;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;646;LUVA;40151900.10;40151900;C/100;494;INOVEN;494;INOVEN
9431;LUVA BORRACHA INOVEN AMARELA G 1PR ;1PR;PR;6;EMBALAGENS/DESCARTAVEIS;646;LUVA;40151900.;40151900;1PR;494;INOVEN;494;INOVEN
9432;LUVA BORRACHA INOVEN AMARELA M 1PR ;1PR;PR;6;EMBALAGENS/DESCARTAVEIS;646;LUVA;40151900.;40151900;1PR;494;INOVEN;494;INOVEN
9433;CHOC.NESTLE SENSACAO MORANGO 24X38G;24X38G;DP;3;BOMBONIERI;312;CHOCOLATE;18063110.;18063110;;290;NESTLE;290;NESTLE
9439;AGUARD.VELHO BARREIRO LIMAO C/VASILHAME;910ML;KT;1;BEBIDAS;62;AGUARDENTE;22089000.;22089000;910ML;454;VELHO BARREIRO;454;VELHO BARREIRO
9442;BARRA CEREAL NUTRY CASTANHA ;24X22G;DP;3;BOMBONIERI;314;CEREAL BARRA;19042000.;19042000;;;;;
